 0 -> 3 , weight = 7
 0 -> 8 , weight = 8
 1 -> 4 , weight = 7
 2 -> 3 , weight = 7
 2 -> 4 , weight = 6
 2 -> 6 , weight = 4
 2 -> 7 , weight = 8
 3 -> 9 , weight = 8
 3 -> 11 , weight = 7
 4 -> 7 , weight = 5
 5 -> 9 , weight = 6
 5 -> 10 , weight = 6
 6 -> 5 , weight = 5
 6 -> 11 , weight = 7
 7 -> 9 , weight = 6
 8 -> 9 , weight = 7
 8 -> 11 , weight = 6
 9 -> 12 , weight = 10
 9 -> 13 , weight = 9
 9 -> 17 , weight = 7
 10 -> 13 , weight = 6
 10 -> 14 , weight = 7
 11 -> 9 , weight = 1
 11 -> 14 , weight = 5
 11 -> 18 , weight = 8
 12 -> 13 , weight = 4
 12 -> 21 , weight = 3
 13 -> 16 , weight = 1
 14 -> 12 , weight = 3
 14 -> 18 , weight = 3
 14 -> 21 , weight = 3
 16 -> 19 , weight = 2
 16 -> 21 , weight = 5
 17 -> 14 , weight = 4
 18 -> 21 , weight = 3
 19 -> 20 , weight = 3
 19 -> 21 , weight = 8
 20 -> 24 , weight = 7
 21 -> 23 , weight = 4
 21 -> 24 , weight = 3
